Portas;Bloco_Publico;Bloco_Privado
49408 - 51423;186.248.165.203;100.66.1.139
49408 - 51423;186.248.165.204;100.66.1.140
49408 - 51423;186.248.165.205;100.66.1.141
49408 - 51423;186.248.165.206;100.66.1.142
49408 - 51423;186.248.165.207;100.66.1.143
51424 - 53439;186.248.165.192;100.66.1.144
51424 - 53439;186.248.165.193;100.66.1.145
51424 - 53439;186.248.165.194;100.66.1.146
51424 - 53439;186.248.165.195;100.66.1.147
51424 - 53439;186.248.165.196;100.66.1.148
51424 - 53439;186.248.165.197;100.66.1.149
51424 - 53439;186.248.165.198;100.66.1.150
51424 - 53439;186.248.165.199;100.66.1.151
51424 - 53439;186.248.165.200;100.66.1.152
51424 - 53439;186.248.165.201;100.66.1.153
51424 - 53439;186.248.165.202;100.66.1.154
51424 - 53439;186.248.165.203;100.66.1.155
51424 - 53439;186.248.165.204;100.66.1.156
51424 - 53439;186.248.165.205;100.66.1.157
51424 - 53439;186.248.165.206;100.66.1.158
51424 - 53439;186.248.165.207;100.66.1.159
53440 - 55455;186.248.165.192;100.66.1.160
53440 - 55455;186.248.165.193;100.66.1.161
53440 - 55455;186.248.165.194;100.66.1.162
53440 - 55455;186.248.165.195;100.66.1.163
53440 - 55455;186.248.165.196;100.66.1.164
53440 - 55455;186.248.165.197;100.66.1.165
53440 - 55455;186.248.165.198;100.66.1.166
53440 - 55455;186.248.165.199;100.66.1.167
53440 - 55455;186.248.165.200;100.66.1.168
53440 - 55455;186.248.165.201;100.66.1.169
53440 - 55455;186.248.165.202;100.66.1.170
53440 - 55455;186.248.165.203;100.66.1.171
53440 - 55455;186.248.165.204;100.66.1.172
53440 - 55455;186.248.165.205;100.66.1.173
53440 - 55455;186.248.165.206;100.66.1.174
53440 - 55455;186.248.165.207;100.66.1.175
55456 - 57471;186.248.165.192;100.66.1.176
55456 - 57471;186.248.165.193;100.66.1.177
55456 - 57471;186.248.165.194;100.66.1.178
55456 - 57471;186.248.165.195;100.66.1.179
55456 - 57471;186.248.165.196;100.66.1.180
55456 - 57471;186.248.165.197;100.66.1.181
55456 - 57471;186.248.165.198;100.66.1.182
55456 - 57471;186.248.165.199;100.66.1.183
55456 - 57471;186.248.165.200;100.66.1.184
55456 - 57471;186.248.165.201;100.66.1.185
55456 - 57471;186.248.165.202;100.66.1.186
55456 - 57471;186.248.165.203;100.66.1.187
55456 - 57471;186.248.165.204;100.66.1.188
55456 - 57471;186.248.165.205;100.66.1.189
55456 - 57471;186.248.165.206;100.66.1.190
55456 - 57471;186.248.165.207;100.66.1.191
57472 - 59487;186.248.165.192;100.66.1.192
57472 - 59487;186.248.165.193;100.66.1.193
57472 - 59487;186.248.165.194;100.66.1.194
57472 - 59487;186.248.165.195;100.66.1.195
57472 - 59487;186.248.165.196;100.66.1.196
57472 - 59487;186.248.165.197;100.66.1.197
57472 - 59487;186.248.165.198;100.66.1.198
57472 - 59487;186.248.165.199;100.66.1.199
57472 - 59487;186.248.165.200;100.66.1.200
57472 - 59487;186.248.165.201;100.66.1.201
57472 - 59487;186.248.165.202;100.66.1.202
57472 - 59487;186.248.165.203;100.66.1.203
57472 - 59487;186.248.165.204;100.66.1.204
57472 - 59487;186.248.165.205;100.66.1.205
57472 - 59487;186.248.165.206;100.66.1.206
57472 - 59487;186.248.165.207;100.66.1.207
59488 - 61503;186.248.165.192;100.66.1.208
59488 - 61503;186.248.165.193;100.66.1.209
59488 - 61503;186.248.165.194;100.66.1.210
59488 - 61503;186.248.165.195;100.66.1.211
59488 - 61503;186.248.165.196;100.66.1.212
59488 - 61503;186.248.165.197;100.66.1.213
59488 - 61503;186.248.165.198;100.66.1.214
59488 - 61503;186.248.165.199;100.66.1.215
59488 - 61503;186.248.165.200;100.66.1.216
59488 - 61503;186.248.165.201;100.66.1.217
59488 - 61503;186.248.165.202;100.66.1.218
59488 - 61503;186.248.165.203;100.66.1.219
59488 - 61503;186.248.165.204;100.66.1.220
59488 - 61503;186.248.165.205;100.66.1.221
59488 - 61503;186.248.165.206;100.66.1.222
59488 - 61503;186.248.165.207;100.66.1.223
61504 - 63519;186.248.165.192;100.66.1.224
61504 - 63519;186.248.165.193;100.66.1.225
61504 - 63519;186.248.165.194;100.66.1.226
61504 - 63519;186.248.165.195;100.66.1.227
61504 - 63519;186.248.165.196;100.66.1.228
61504 - 63519;186.248.165.197;100.66.1.229
61504 - 63519;186.248.165.198;100.66.1.230
61504 - 63519;186.248.165.199;100.66.1.231
61504 - 63519;186.248.165.200;100.66.1.232
61504 - 63519;186.248.165.201;100.66.1.233
61504 - 63519;186.248.165.202;100.66.1.234
61504 - 63519;186.248.165.203;100.66.1.235
61504 - 63519;186.248.165.204;100.66.1.236
61504 - 63519;186.248.165.205;100.66.1.237
61504 - 63519;186.248.165.206;100.66.1.238
61504 - 63519;186.248.165.207;100.66.1.239
63520 - 65535;186.248.165.192;100.66.1.240
63520 - 65535;186.248.165.193;100.66.1.241
63520 - 65535;186.248.165.194;100.66.1.242
63520 - 65535;186.248.165.195;100.66.1.243
63520 - 65535;186.248.165.196;100.66.1.244
63520 - 65535;186.248.165.197;100.66.1.245
63520 - 65535;186.248.165.198;100.66.1.246
63520 - 65535;186.248.165.199;100.66.1.247
63520 - 65535;186.248.165.200;100.66.1.248
63520 - 65535;186.248.165.201;100.66.1.249
63520 - 65535;186.248.165.202;100.66.1.250
63520 - 65535;186.248.165.203;100.66.1.251
63520 - 65535;186.248.165.204;100.66.1.252
63520 - 65535;186.248.165.205;100.66.1.253
63520 - 65535;186.248.165.206;100.66.1.254
63520 - 65535;186.248.165.207;100.66.1.255
